ID,X,Y,Z,Node,Slice,Z_Darcy
229,260311.3884,2745581.403,66.24867767,3840,1,-0.001165146
230,260218.3975,2745458.202,61.44453434,3841,1,-0.016697943
231,260181.8574,2745523.318,62.36423794,3842,1,0.011934921
232,260115.2937,2745491.108,61.24046137,3843,1,-0.024253511
233,260143.332,2745579.36,62.30661051,3844,1,-0.042900643
234,260105.2695,2745641.779,63.950786,3845,1,0.008434177
235,260069.7887,2745701.121,63.6158848,3847,1,0.002493088
236,260041.2875,2745606.492,60.84793274,3849,1,0.01257955
237,260012.2624,2745517.063,61.74609889,3850,1,0.00516747
238,259976.7816,2745576.405,61.41119769,3851,1,0.010959046
239,260049.4408,2745462.164,62.74472095,3852,1,0.040554776
240,260087.9662,2745406.122,62.80234838,3853,1,0.05391443
241,260065.5771,2745327.544,63.9610233,3854,1,0.049166007
242,260131.43,2745356.488,62.45676372,3855,1,0.048518405
243,260172.8786,2745305.087,62.35434967,3856,1,0.035571401
244,260195.2677,2745383.664,61.19567475,3857,1,-0.057440777
245,260259.8461,2745406.801,61.34212029,3858,1,-0.086949497
246,260298.3654,2745351.524,62.66851226,3859,1,-0.091224031
247,260321.4953,2745426.063,62.91737185,3860,1,-0.024989537
248,260386.5126,2745461.438,65.49632227,3861,1,-0.038991552
249,260347.9933,2745516.715,64.1699303,3862,1,-0.028295008
250,260376.4057,2745616.779,68.82762809,3863,1,-0.016334014
251,260446.0841,2745653.391,76.64435109,3864,1,-3.07081E-05
252,260479.637,2745579.028,73.99763542,3870,1,-0.035316979
253,260450.3203,2745491.621,65.57649651,3871,1,-0.018885176
254,260516.9468,2745518.559,72.8252512,3872,1,0.004259448
255,260423.8224,2745400.969,64.32393805,3873,1,-0.020093239
256,260400.7689,2745322.98,65.12426408,3874,1,0.004211033
257,260464.5766,2745353.162,65.20443832,3875,1,0.041327379
258,260503.4755,2745299.095,64.5919953,3876,1,-0.007974094
259,260526.5289,2745377.085,63.79166928,3877,1,-0.020876809
260,260590.1167,2745397.349,67.25343995,3878,1,-0.012690831
261,260551.2179,2745451.416,67.86588297,3879,1,-0.002217007
262,260580.5345,2745538.823,76.28702187,3880,1,0.002642032
263,260645.0624,2745556.041,84.11143622,3881,1,0.119226282
264,260678.8558,2745488.328,71.27174643,3882,1,0.041629845
265,260651.7563,2745414.784,68.55167477,3883,1,0.024805841
266,260715.8064,2745431.432,68.49576755,3884,1,-0.027780924
267,260627.0674,2745340.453,64.47746107,3885,1,-0.037538458
268,260599.3908,2745273.286,63.73993204,3886,1,-0.076492726
269,260661.0303,2745290.721,65.03816686,3887,1,-0.086317925
270,260696.9447,2745238.068,66.10824593,3888,1,-0.070460589
271,260724.6213,2745305.235,66.84577496,3889,1,-0.062800655
272,260786.7525,2745320.229,67.35639128,3890,1,0.006176178
273,260750.8381,2745372.882,66.28631221,3891,1,0.035368026
274,260777.9376,2745446.426,69.00638388,3892,1,-0.000740134
275,260841.3375,2745456.487,69.30778354,3893,1,-0.051009564
276,260875.0242,2745397.379,68.16250984,3894,1,-0.091818889
277,260903.3924,2745465.99,70.67336485,3895,1,-0.096972007
278,260966.5816,2745472.419,75.67410048,3896,1,-0.010563614
279,260999.8316,2745413.245,71.76540658,3898,1,-0.081147846
280,260972.8507,2745348.837,69.37497666,3899,1,-0.094898214
281,261035.6032,2745355.201,71.6122921,3900,1,-0.024683358
282,260946.4783,2745284.82,69.12470287,3901,1,-0.040040584
283,260910.7067,2745342.864,69.27781735,3902,1,-0.079300039
284,260848.6518,2745333.362,67.91223605,3903,1,-0.017566335
285,260822.435,2745265.714,68.4716988,3904,1,0.015642886
286,260798.9883,2745202.999,67.50251237,3905,1,0.01211032
287,260860.8877,2745216.131,68.05835713,3906,1,0.045342642
288,260897.7803,2745159.082,65.9096491,3907,1,0.017143672
289,260921.227,2745221.798,66.87883553,3908,1,-0.08305157
290,260983.3709,2745227.771,66.97599484,3909,1,-0.140418239
291,261017.448,2745168.124,66.70076185,3910,1,-0.114507385
292,261042.6993,2745231.146,68.9466292,3911,1,-0.106416598
293,261104.5588,2745236.353,70.40412185,3912,1,-0.098815423
294,261070.4818,2745296,70.67935484,3913,1,-0.06532786
295,261097.4627,2745360.408,73.06978475,3914,1,-0.026585527
296,261163.4487,2745371.519,75.14630891,3915,1,-0.010175132
297,261195.9217,2745309.038,73.63665177,3916,1,-0.01977916
298,261227.0291,2745379.35,76.64611318,3917,1,0.022036824
299,261291.1592,2745382.773,76.56693225,3918,1,0.043127872
300,261322.603,2745320.074,73.3809697,3919,1,0.086067298
301,261354.26,2745385.978,74.81144591,3920,1,0.051186945
302,261418.8242,2745383.854,72.13980112,3921,1,0.001779943
303,261449.2837,2745326.23,71.92998636,3922,1,-0.005106039
304,261482.404,2745386.805,72.44430412,3923,1,0.003489688
305,261547.4753,2745383.248,73.33275049,3924,1,0.005802304
306,261598.1966,2745380.919,73.48923221,3931,1,0.01536418
307,261658.2628,2745362.339,73.13818683,3932,1,-0.003264739
308,261563.5848,2745326.851,72.39097108,3933,1,0.00141243
309,261544.7932,2745274.199,71.96840854,3934,1,0.003442039
310,261595.5146,2745271.87,72.12489026,3935,1,0.006432347
311,261514.6169,2745213.299,71.80429857,3936,1,0.00010097
312,261482.6871,2745268.281,72.07037939,3937,1,0.014668971
313,261419.1073,2745265.331,71.76587639,3938,1,0.023164841
314,261390.364,2745199.803,72.75136205,3939,1,0.032383852
315,261356.9606,2745257.752,72.61096902,3940,1,0.021168156
316,261293.8597,2745254.546,74.36645537,3941,1,0.002740781
317,261265.4952,2745189.025,73.5496925,3942,1,-0.007598473
318,261231.1376,2745251.347,74.31969318,3943,1,-0.062935124
319,261167.5572,2745243.516,72.8198889,3944,1,-0.10675242
320,261139.7747,2745178.662,71.08716326,3945,1,-0.145129863
321,261112.6858,2745114.28,70.87231175,3946,1,-0.047884512
322,261175.6842,2745121.444,73.2880788,3947,1,-0.045519435
323,261210.1602,2745060.33,74.86124158,3948,1,-0.029998831
324,261237.2491,2745124.712,75.07609309,3949,1,0.013556611
325,261299.9712,2745127.911,75.12285528,3950,1,0.013220766
326,261331.9451,2745066.026,75.7392192,3951,1,0.021119688
327,261360.1912,2745130.338,74.21281861,3952,1,0.012053975
328,261422.3379,2745137.917,73.36772598,3953,1,-0.007222053
329,261455.7859,2745079.574,74.24924945,3954,1,0.006443419
330,261485.9587,2745149.038,72.78779289,3955,1,0.000344585
331,261548.0649,2745154.956,72.68582204,3956,1,-0.039750655
332,261581.1737,2745102.27,73.41642833,3957,1,-0.016810313
333,261609.8318,2745166.531,72.43293401,3958,1,-0.012800711
334,261851.9601,2745260.681,71.25593623,3959,1,-0.040129028
335,261914.9099,2745288.614,71.47117681,3960,1,-0.014891554
336,261859.9339,2745344.876,71.06545168,3961,1,-0.041504883
337,261963.596,2745253.345,72.16669283,3962,1,-0.071605901
338,261971.5698,2745337.54,71.97620829,3963,1,-0.039553054
339,261990.0057,2745190.313,73.02123112,3964,1,-0.04999039
340,262046.6656,2745239.24,73.5262626,3965,1,-0.024878436
341,261940.8179,2745130.309,75.04393381,3966,1,-0.019017173
342,262023.8874,2745116.203,76.40350358,3967,1,-0.012989166
343,261905.7921,2745044.056,78.5851217,3968,1,-0.055373005
344,261871.9103,2745118.166,75.20284925,3969,1,-0.055456857
345,261800.5295,2745092.995,74.95913006,3970,1,-0.06893642
346,261835.5552,2745179.248,71.41794217,3971,1,-0.009097732
347,261780.5792,2745235.51,71.01221705,3972,1,0.005672937
348,261725.7468,2745205.928,71.22756204,3973,1,0.017993699
349,261742.1516,2745287.361,71.0655561,3974,1,-0.033251222
350,261703.5575,2745133.961,72.16888164,3975,1,-0.005333945
351,261665.1299,2745185.812,72.2222207,3976,1,0.004871984
352,261632.0211,2745238.498,71.49161441,3977,1,0.016034434
353,261650.8127,2745291.151,71.91417695,3978,1,0.025114531
354,261694.7693,2745328.968,72.50491098,3979,1,0.039982819
355,261749.6017,2745358.549,72.28956599,3980,1,0.024109892
356,261809.0184,2745406.553,70.70213238,3981,1,-0.041733199
357,261871.9682,2745434.486,70.91737296,3982,1,-0.000495307
358,261949.6459,2745446.357,75.92669919,3984,1,-0.001872756
359,262507.2442,2744599.551,94.24153539,3985,1,-0.008048055
360,262549.5126,2744548.488,97.0497422,3988,1,-0.005954905
361,262565.8599,2744617.164,88.79905022,3989,1,1.75187E-08
362,262555.5793,2744491.68,102.7149726,3990,1,-0.004316291
363,262614.195,2744509.293,97.27248742,3991,1,1.69323E-08
364,262636.7999,2744382.881,108.4356929,3995,1,6.61021E-05
365,262248.9227,2745370.298,81.56535081,4001,1,0.050016896
366,262328.6825,2745371.289,81.26824123,4002,1,-0.012903442
367,262533.8823,2745254.309,80.03547125,4003,1,-0.015747516
368,262560.7369,2745195.562,79.86917361,4004,1,-0.021904921
369,262465.1861,2745259.315,77.63312141,4006,1,-0.021559413
370,262402.7486,2745370.136,79.89731727,4010,1,0.002043157
371,262361.2966,2745316.113,76.94462388,4012,1,-0.001199617
372,262322.77,2745263.911,78.3096228,4013,1,-0.010878196
373,262396.8361,2745262.758,76.93869884,4014,1,-0.008843844
374,262426.6595,2745207.114,78.99812032,4015,1,0.004180268
375,262390.3159,2745167.067,78.0316341,4016,1,-0.000345233
376,262458.6659,2745163.625,78.72605667,4017,1,-0.010901959
377,262478.2726,2745108.054,78.29219649,4018,1,-0.001973189
378,262514.6162,2745148.1,79.25868271,4019,1,-0.006843132
379,262580.3436,2745139.991,79.43531343,4020,1,-0.070050046
380,262708.7158,2744646.253,79.31495533,4021,1,-0.040399504
381,262656.1451,2744689.099,79.09742399,4022,1,-0.026886537
382,262676.6758,2744614.699,81.74234123,4023,1,0.017044048
383,263230.3807,2744356.33,89.87287227,4024,1,-0.004099549
384,263146.7105,2744367.472,93.25337623,4025,1,0.001092758
385,263184.4606,2744297.595,96.1018376,4026,1,-0.059967496
386,263115.0453,2744465.625,84.13532155,4027,1,-0.060377184
387,263069.1252,2744406.89,90.36428688,4028,1,-2.58311E-08
388,262839.1294,2744260.236,113.1857164,4029,1,-0.000973986
389,262880.8872,2744306.824,100.7503713,4030,1,-0.001759118
390,262818.4875,2744322.196,100.9263087,4031,1,0.004030441
391,262801.7017,2744390.448,91.98284761,4032,1,1.48332E-07
392,262759.9439,2744343.86,104.4181927,4033,1,0.080540705
393,262788.1435,2744444.626,87.18217063,4034,1,0.089865382
394,262781.1876,2744524.496,80.42474112,4035,1,0.038843349
395,262736.2023,2744491.982,88.71730207,4036,1,0.020269461
396,262846.687,2744422.962,83.69028665,4037,1,-0.015364215
397,262901.819,2744403.905,83.38772666,4038,1,0.011905163
398,262888.2607,2744458.083,78.58704968,4039,1,-0.003538463
399,262910.2884,2744351.006,91.10568004,4040,1,-0.066991906
400,262951.8621,2744386.127,86.00244307,4041,1,-9.42994E-06
401,262930.9303,2744289.046,103.3650877,4042,1,2.16356E-08
402,262957.1718,2744227.292,113.3208678,4043,1,2.23411E-08
403,262986.573,2744271.474,103.6761765,4044,1,1.2871E-08
404,263056.8024,2744259.228,106.5571491,4045,1,-0.003951322
405,263030.561,2744320.982,96.60136901,4046,1,-0.108827858
406,263022.0916,2744373.881,88.88341562,4047,1,-0.099636704
407,262990.4263,2744472.034,79.76536094,4048,1,-0.000470572
408,262964.4767,2744540.54,80.45103908,4049,1,0.010969875
409,262917.443,2744507.531,78.97016782,4050,1,0.053275555
410,262862.3111,2744526.589,79.27272782,4051,1,0.010542972
411,262810.3699,2744573.945,80.80785926,4052,1,-0.075071145
412,262847.8086,2744634.069,78.18403371,4053,1,-0.082727186
413,262766.6852,2744631.977,79.33604701,4054,1,0.000665227
414,262746.1545,2744706.377,76.69112978,4055,1,0.023852767
415,262723.8648,2744774.911,78.61035634,4056,1,0.060324143
416,262781.8342,2744760.635,78.63144803,4057,1,-0.015500248
417,262655.949,2744788.919,76.75212187,4058,1,-0.044030799
418,262691.6288,2744843.177,78.69244011,4059,1,-0.014986343
419,262670.2085,2744902.177,77.95268377,4060,1,-0.03450219
420,262738.1242,2744888.169,79.81091825,4061,1,0.006714613
421,262599.0964,2744916.522,77.23853134,4062,1,-0.004062264
422,262645.5919,2744961.515,78.35700948,4063,1,-0.002919046
423,262623.7573,2745021.691,78.78647611,4064,1,-0.014306625
424,262694.8694,2745007.346,79.50062854,4065,1,0.00633631
425,262554.3514,2745034.194,78.23383979,4066,1,-0.012849019
426,262603.6289,2745080.026,79.37745885,4067,1,-0.007307991
427,262649.7496,2745127.487,79.98794975,4068,1,-0.003505805
428,263378.0375,2744275.294,90.05862569,4086,1,-0.001639188
429,263670.9211,2744735.95,87.85911351,4092,1,-0.030484334
430,263674.551,2744673.822,87.31939291,4093,1,-0.014577435
431,263738.4273,2744703.644,89.10623479,4094,1,0.002857399
432,263732.3575,2744828.78,92.35341526,4095,1,0.00258272
433,263793.5687,2744798.014,91.67797541,4096,1,0.0004215
434,264081.6146,2744616.219,90.96830543,4101,1,-0.001819252
435,264433.2545,2744518.383,102.7116277,4105,1,0.000270468
436,264494.4037,2744480.046,101.2886012,4106,1,-4.9952E-06
437,264547.1137,2744361.204,97.6440424,4108,1,-0.007771598
