ID,X,Y,Z,Node,SINIT
181,262210.6781,2739915.361,413.0145915,357,0.003504582
182,264790.6781,2739435.361,412.9660029,358,0.003533925
183,264760.6781,2739495.361,412.6902307,361,0.003534466
184,264597.7623,2739812.673,412.5325522,362,0.003529365
185,264760.2954,2739558.014,412.3448264,364,0.003535005
186,263784.5835,2739929.769,412.2832927,365,0.003517858
187,263620.6781,2739885.361,412.0087268,368,0.003516615
188,264732.4714,2739650.025,411.8598445,370,0.003535558
189,265330.6781,2739045.361,411.5729443,372,0.003541881
190,264823.4851,2739410.106,411.4606556,374,0.003539089
191,268720.6781,2751045.361,411.2921041,376,0.003483797
192,263740.6781,2739915.361,411.2919595,377,0.003520587
193,265060.6781,2739225.361,410.8832636,380,0.003542101
194,263590.2428,2739880.948,410.8615366,381,0.00352
195,265210.6781,2739255.361,410.7332238,383,0.003543607
196,265360.6781,2739045.361,410.5139717,385,0.003545474
197,264760.6781,2739525.361,410.4990153,386,0.003541381
198,265240.6781,2739135.361,410.3928108,388,0.003545413
199,265180.6781,2739255.361,410.2620331,391,0.003544923
200,264940.6781,2739255.361,410.1585576,392,0.003544151
201,262330.6781,2739945.361,410.1290098,393,0.003513789
202,265030.6781,2739225.361,410.1246619,394,0.00354452
203,262059.7551,2740017.595,410.0541685,395,0.003513652
204,265240.6781,2739225.361,410.040482,396,0.003546217
205,264628.3695,2739731.073,409.404567,402,0.003541418
206,263151.8659,2739930.061,409.3924195,404,0.003521403
207,265000.6781,2739225.361,409.356859,405,0.00354704
208,261970.6781,2740005.361,409.2978656,406,0.003516014
209,262300.6781,2739945.361,409.2453233,408,0.00351653
210,262330.6781,2739975.361,409.184601,409,0.003516819
211,265300.6781,2739075.361,409.1151493,413,0.00355008
212,262689.6511,2740015.455,409.0394014,416,0.003519119
213,264940.6781,2739285.361,408.9779242,417,0.003548025
214,262270.6781,2739945.361,408.9241063,418,0.003517459
215,265240.6781,2739195.361,408.8002238,419,0.003550571
216,265270.6781,2739105.361,408.64376,420,0.003551472
217,264696.281,2739706.263,408.3852054,423,0.003546193
218,265150.6781,2739255.361,408.3235006,425,0.003551206
219,262829.1206,2739975.069,408.2840098,427,0.003522605
220,263288.5941,2739908.702,408.2688417,428,0.003526042
221,265390.6781,2739045.361,407.7443724,436,0.003554885
222,264789.6079,2739487.733,407.6745105,437,0.003551298
223,262418.2164,2740018.609,407.4847528,439,0.003522518
224,265120.6781,2739255.361,407.2637296,444,0.00355456
225,263024.3607,2739902.433,407.055379,445,0.003527913
226,264038.9434,2739924.224,406.5035122,448,0.003538924
227,262240.6781,2739915.361,406.3325045,450,0.003525685
228,262607.7105,2739976.163,406.0077974,453,0.003528304
229,262480.6781,2739945.361,405.8599414,454,0.003528182
230,265420.6781,2739075.361,405.6636019,455,0.003562302
231,262570.6781,2739945.361,405.5035375,456,0.003529745
232,264133.8682,2739955.436,405.4557686,458,0.003543364
233,264970.6781,2739225.361,405.4530476,459,0.003560282
234,262450.6781,2739975.361,405.3553473,460,0.003529556
235,262012.7852,2740025.145,405.0994316,462,0.003529475
236,265328.4851,2739082.919,404.9632621,464,0.003564323
237,264970.6781,2739255.361,404.961736,465,0.00356192
238,268690.6781,2751075.361,404.8857901,466,0.003502898
239,265390.6781,2739075.361,404.4562356,470,0.003566284
240,265270.6781,2739135.361,404.1699186,474,0.00356678
241,263223.202,2739946.56,403.9029858,478,0.003539812
242,265300.6781,2739105.361,403.8220088,480,0.003568175
243,268690.6781,2751045.361,403.740363,481,0.003506584
244,265367.6458,2739078.874,403.6633764,482,0.00356898
245,268660.6781,2751105.361,403.2447092,484,0.003507636
246,262540.6781,2739945.361,402.962566,486,0.003537912
247,263490.6277,2739886.198,402.78371,489,0.003545625
248,265420.6781,2739045.361,402.4844773,492,0.003573542
249,265082.9823,2739261.543,402.0875971,494,0.003572347
250,265437.0529,2739090.864,402.0445767,495,0.003574998
251,268660.6781,2751075.361,401.9667049,496,0.003511781
252,268630.6781,2751135.361,401.7907625,498,0.003511888
253,263087.1663,2739938.931,401.6885106,500,0.003546125
254,268720.6781,2751015.361,401.4627713,502,0.003513946
255,265028.2304,2739261.192,401.4206432,503,0.003574471
256,264996.9989,2739321.276,401.2609676,504,0.003574788
257,262299.5553,2739971.229,401.190428,505,0.003542702
258,265420.6781,2739015.361,401.0245851,508,0.003578802
259,262270.6781,2739915.361,400.9340875,510,0.003543428
260,264960.843,2739473.455,400.3523715,515,0.003577495
261,265399.1232,2739102.762,399.7314101,520,0.003583074
262,265151.7093,2739288.199,399.6010927,521,0.003581616
263,268630.6781,2751105.361,399.4073211,522,0.003519522
264,268570.6781,2751165.361,398.908738,524,0.003520402
265,268570.6781,2751135.361,398.4691703,527,0.003521954
266,264338.4433,2739913.546,398.3439131,529,0.003571352
267,263590.919,2739924.971,398.3360977,530,0.003561746
268,263547.529,2739897.26,398.2805886,531,0.003561448
269,269200.6781,2750925.361,398.0188421,532,0.003529176
270,264809.8694,2739620.597,397.9819099,533,0.003584383
271,262156.7073,2740008.905,397.9147931,534,0.003553487
272,268685.7738,2751006.526,397.0934773,540,0.00352787
